Date,Pmtwo,NO,CO,AQI
25-09-2016,34.16,9.66,9.66,212
26-09-2016,30.07,9.82,9.82,214
27-09-2016,25.54,9.5,9.5,222
28-09-2016,38.47,10.63,10.63,216
29-09-2016,42.55,10.36,10.36,236
30-09-2016,38.1,10.2,10.2,225
01-10-2016,27.22,12.02,12.02,231
02-10-2016,41.81,10.75,10.75,298
03-10-2016,75.03,11.23,11.23,267
04-10-2016,,,,236
05-10-2016,30.48,16.49,16.49,
06-10-2016,75.06,14.78,14.78,301
07-10-2016,85.36,14.48,14.48,311
08-10-2016,124.97,13.2,13.2,313
09-10-2016,86.63,11.74,11.74,267
10-10-2016,70.34,11.25,11.25,232
11-10-2016,50.49,10.91,10.91,229
12-10-2016,42.25,11.07,11.07,227
13-10-2016,48.23,11.09,11.09,236
14-10-2016,138.94,10.27,10.27,326
15-10-2016,155.68,16.66,16.66,395
16-10-2016,120.35,20.67,20.67,507
17-10-2016,140.81,18.56,18.56,423
18-10-2016,87.09,10.15,10.15,315
19-10-2016,83.57,7.8,7.8,213
20-10-2016,75.41,12.23,12.23,263
21-10-2016,106.86,9.38,9.38,355
22-10-2016,96.53,9.03,9.03,362
23-10-2016,76.96,6.95,6.95,236
24-10-2016,73.05,7.04,7.04,192
25-10-2016,72.52,7.31,7.31,230
26-10-2016,109.22,11.05,11.05,278
27-10-2016,122.63,18.84,18.84,390
28-10-2016,214.36,19.66,19.66,509
29-10-2016,381.69,29.49,29.49,472
30-10-2016,182.59,26.06,26.06,457
31-10-2016,271.85,16.39,16.39,721
01-11-2016,230.76,12.95,12.95,420
02-11-2016,203.3,11.74,11.74,417
03-11-2016,152.03,10.97,10.97,390
04-11-2016,176.02,7.51,7.51,361
05-11-2016,,,,
06-11-2016,,,,
07-11-2016,,,,
08-11-2016,,,,
09-11-2016,,,,
10-11-2016,,,,
11-11-2016,,,,
12-11-2016,,,,
13-11-2016,,,,
14-11-2016,,,,
15-11-2016,,,,
16-11-2016,,,,
17-11-2016,,,,
18-11-2016,,,,
19-11-2016,,,,
20-11-2016,,,,
21-11-2016,,,,
22-11-2016,,,,
23-11-2016,,,,
24-11-2016,,,,
25-11-2016,,,,
26-11-2016,,,,
27-11-2016,,,,
28-11-2016,,,,
29-11-2016,,,,
30-11-2016,,,,
01-12-2016,,,,
02-12-2016,,,,
03-12-2016,,,,
04-12-2016,,,,
05-12-2016,,,,
06-12-2016,,,,
07-12-2016,,,,
08-12-2016,,,,
09-12-2016,,,,
10-12-2016,,,,
11-12-2016,,,,
12-12-2016,,,,
13-12-2016,,,,
14-12-2016,,,,
15-12-2016,,,,
16-12-2016,,,,
17-12-2016,,,,
18-12-2016,,,,
19-12-2016,,,,
20-12-2016,,,,
21-12-2016,,,,
22-12-2016,,,,
23-12-2016,,,,
24-12-2016,,,,
25-12-2016,,,,
26-12-2016,,,,
27-12-2016,,,,
28-12-2016,,,,
29-12-2016,,,,
30-12-2016,,,,
31-12-2016,,,,
01-01-2017,,,,
02-01-2017,,,,
03-01-2017,,,,
04-01-2017,,,,
05-01-2017,,,,
06-01-2017,,,,
07-01-2017,,,,
08-01-2017,,,,
09-01-2017,,,,
10-01-2017,,,,
11-01-2017,,,,
12-01-2017,,,,
13-01-2017,,,,
14-01-2017,,,,
15-01-2017,,,,
16-01-2017,,,,
17-01-2017,,,,
18-01-2017,,,,
19-01-2017,,,,
20-01-2017,,,,
21-01-2017,,,,
22-01-2017,,,,
23-01-2017,,,,
24-01-2017,,,,
25-01-2017,,,,
26-01-2017,,,,
27-01-2017,,,,
28-01-2017,,,,
29-01-2017,,,,
30-01-2017,,,,
31-01-2017,,,,
01-02-2017,,,,
02-02-2017,,,,
03-02-2017,,,,
04-02-2017,,,,
05-02-2017,,,,
06-02-2017,,,,
07-02-2017,,,,
08-02-2017,,,,
09-02-2017,,,,
10-02-2017,,,,
11-02-2017,,,,
12-02-2017,,,,
13-02-2017,,,,
14-02-2017,,,,
15-02-2017,,,,
16-02-2017,,,,
17-02-2017,,,,
18-02-2017,,,,
19-02-2017,,,,
20-02-2017,,,,
21-02-2017,,,,
22-02-2017,,,,
23-02-2017,,,,
24-02-2017,,,,
25-02-2017,,,,
26-02-2017,,,,
27-02-2017,,,,
28-02-2017,,,,
01-03-2017,,,,
02-03-2017,,,,
03-03-2017,,,,
04-03-2017,,,,
05-03-2017,,,,
06-03-2017,,,,
07-03-2017,,,,
08-03-2017,,,,
09-03-2017,,,,
10-03-2017,,,,
11-03-2017,,,,
12-03-2017,,,,
13-03-2017,,,,
14-03-2017,,,,
15-03-2017,,,,
16-03-2017,,,,
17-03-2017,,,,
18-03-2017,,,,
19-03-2017,,,,
20-03-2017,,,,
21-03-2017,,,,
22-03-2017,,,,
23-03-2017,,,,
24-03-2017,,,,
25-03-2017,,,,
26-03-2017,,,,
27-03-2017,,,,
28-03-2017,,,,
29-03-2017,,,,
30-03-2017,,,,
31-03-2017,,,,
01-04-2017,,,,
02-04-2017,,,,
03-04-2017,,,,
04-04-2017,,,,
05-04-2017,,,,
06-04-2017,,,,
07-04-2017,,,,
08-04-2017,,,,
09-04-2017,,,,
10-04-2017,,,,
11-04-2017,,,,
12-04-2017,,,,
13-04-2017,,,,
14-04-2017,,,,
15-04-2017,,,,
16-04-2017,,,,
17-04-2017,,,,
18-04-2017,,,,
19-04-2017,,,,
20-04-2017,,,,
21-04-2017,,,,
22-04-2017,,,,
23-04-2017,,,,
24-04-2017,,,,
25-04-2017,,,,
26-04-2017,,,,
27-04-2017,,,,
28-04-2017,,,,
29-04-2017,,,,
30-04-2017,,,,
01-05-2017,,,,
02-05-2017,,,,
03-05-2017,,,,
04-05-2017,,,,
05-05-2017,,,,
06-05-2017,,,,
07-05-2017,,,,
08-05-2017,,,,
09-05-2017,,,,
10-05-2017,,,,
11-05-2017,,,,
12-05-2017,,,,
13-05-2017,,,,
14-05-2017,,,,
15-05-2017,,,,
16-05-2017,,,,
17-05-2017,,,,
18-05-2017,,,,
19-05-2017,,,,
20-05-2017,,,,
21-05-2017,,,,
22-05-2017,,,,
23-05-2017,,,,
24-05-2017,,,,
25-05-2017,,,,
26-05-2017,,,,
27-05-2017,,,,
28-05-2017,,,,
29-05-2017,,,,
30-05-2017,,,,
31-05-2017,,,,
01-06-2017,,,,
02-06-2017,,,,
03-06-2017,,,,
